nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,code_insee_commune,nbre_pdc,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,adresse_station,Xlongitude,Ylatitude,source_grouped,horaires_grouped,gratuit_grouped,paiement_acte_grouped,paiement_cb_grouped,reservation_grouped,accessibilite_pmr_grouped,nb_prises_grouped,nb_EF_grouped,nb_T2_grouped,nb_combo_ccs_grouped,nb_chademo_grouped,nb_autre_grouped,power_ef_grouped,power_t2_grouped,power_chademo_grouped,power_ccs_grouped
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P6882066507796461835,863358,Zunder/74654,Station dédiée à la recharge rapide,,12,false,,,,," D924, Aire du Pays d’Argentan, Écouché-les-Vallées 61200 France",-0.056488,48.723084,gireve-2,24/7,false,false,,false,Accessibilité inconnue,12,0,4,8,0,0,0,22.0,0,300.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P5607452859244131427,1080339,Zunder/122319,Station dédiée à la recharge rapide,,31,false,,,,," A71/E11, km200, Aire de Bourges-Marmagne, Marmagne 18500 France",2.240692,47.095986,gireve-2,24/7,false,true,,false,Accessibilité inconnue,31,0,2,27,2,0,0,44.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P1502145225662963392,1033050,Zunder/122289,Station dédiée à la recharge rapide,,39,false,,,,," A85, km115, Athée-sur-Cher 37270 France",0.891121,47.301879,gireve-2,24/7,false,true,,false,Accessibilité inconnue,39,0,10,27,2,0,0,44.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P6452735640149066372,1130487,Zunder/143957,Parking privé réservé à la clientèle,,20,false,,,,," A63, Saugnac-et-Muret 40410 France",-0.852195,44.361374,gireve-2,24/7,false,true,,false,Accessibilité inconnue,20,0,2,16,2,0,0,22.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P7799365675424004941,1130505,Zunder/143958,Parking privé réservé à la clientèle,,20,false,,,,," A63, Saugnac-et-Muret 40410 France",-0.849669,44.361165,gireve-2,24/7,false,true,,false,Accessibilité inconnue,20,0,2,16,2,0,0,22.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P4756953941625357821,1130592,Zunder/143954,Station dédiée à la recharge rapide,,20,false,,,,," A63, Lesperon 40260 France",-1.092778,43.937583,gireve-2,24/7,false,true,,false,Accessibilité inconnue,20,0,2,16,2,0,0,22.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P336707337744645785,1130610,Zunder/143955,Station dédiée à la recharge rapide,,20,false,,,,," A63, Lesperon 40260 France",-1.08937,43.937391,gireve-2,24/7,false,true,,false,Accessibilité inconnue,20,0,2,16,2,0,0,22.0,50.0,400.0
Grupo Easycharger,,,Zunder | ES*ZUN,roaming@zunder.com,,Zunder,ES*ZUN*P2535303246394561607,1130574,Zunder/143953,Station dédiée à la recharge rapide,,4,false,,,,," A28, Dissay-sous-Courcillon 72500 France",0.470145,47.650769,gireve-2,24/7,false,true,,false,Accessibilité inconnue,4,0,2,2,0,0,0,22.0,0,200.0
ANEBEY,791318157,ploulmet@gmail.com,,contact@none.com,,PLATEAU_YZERON,FR*026*PYZERON,YZERON,YZERON,Parking privé à usage public,69269,1,false,Direct,50064480388431,2023-07-06,,741 Chemin du plat,4.578864,45.704218,irvee,Mo-Su 08:00-18:00,false,true,false,false,Accessibilité inconnue,1,0,1,0,0,0,0,11.0,0,0
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,+33181730350,Camaïeu France,FR*073*PCAMAIEUFR,,CAMAÏEU FRANCE,Parking privé à usage public,59512,1,false,Indirect,30000110910030,2022-07-12,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",211 Av. Jules Brame  59100 Roubaix,3.207306,50.684918,acelec-charge,Mo-Su 08:00-08:00,false,true,true,false,Accessible mais non réservé PMR,16,1,16,0,0,0,0,22.0,0,0
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,+33181730350,Kyriad,FR*073*PKYRIADBEZONS,,Kyriad,Parking privé à usage public,95063,1,false,Indirect,30002100000000,2022-05-31,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",80 Av. Gabriel Péri 95870 BEZONS,2.212336,48.931356,acelec-charge,Mo-Fr 08:00-19:01,false,true,true,false,Accessible mais non réservé PMR,2,1,2,0,0,0,0,22.0,0,0
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,+33181730350,Acelec,FR*073*P777022,,Parking Acelec,Parking privé à usage public,77018,2,false,Indirect,50088800000000,2022-04-30,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....","3 avenue irene joliot curie, 77700 Bailly-romainvilliers",2.798854,48.841032,acelec-charge,Mo-Fr 08:00-19:00,false,true,true,false,Accessible mais non réservé PMR,2,0,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Lavorel Jet,FR*0NX*POOLQQNFM,,Lavorel Jet,Parking privé réservé à la clientèle,,3,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[36 avenue des Marais][74350][Allonzier-la-Caille],6.123984,45.996537,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,3,3,3,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,CLUB MED,FR*0NX*POOLNXWJ8,,CLUB MED VAL D'ISÈRE,Parking privé réservé à la clientèle,,20,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Rue de la Legettaz][73150][Val-d'Isère],6.897273,45.459233,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,20,20,20,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Nexteneo - La Cordée,FR*0NX*POOLHRCNQ,,Nexteneo,Parking privé réservé à la clientèle,,19,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[2a Rue du Pré Faucon][74940][Annecy],6.163519,45.928275,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,19,0,19,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,CLUB MED,FR*0NX*POOLTJFB9,,CLUB MED - La Rosière,Parking privé réservé à la clientèle,,20,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[1400 Rte du Golf][73700][Montvalezan],6.85602,45.62956,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,20,0,20,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Hôtel la Bergerie,FR*0NX*POOLGGAGD,,Hôtel la Bergerie,Parking privé réservé à la clientèle,,3,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[103 Rte du Téléphérique][74410][Morzine],6.704052,46.180339,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,3,3,3,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Hôtel Champs Fleuris,FR*0NX*POOLLPTJG,,Hôtel Champs Fleuris,Parking privé réservé à la clientèle,,6,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[231 route du téléphérique][47110][Morzine],6.702728,46.179571,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,6,6,6,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,ASCO - EMERSON,FR*0NX*POOLNAHPL,,ASCO,Parking privé réservé à la clientèle,,18,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[53 rue de la Beauce][30017][LUCÉ],1.458171,48.430946,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,18,18,18,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,AVENTICS - EMERSON,FR*0NX*POOLD4XQH,,AVENTICS,Parking privé réservé à la clientèle,,12,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[155 avenue du faucigny][74130][Bonneville],6.414517,46.071739,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,12,12,12,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SA TRANSPORTS FRANCONY,FR*0NX*POOLHJEBL,,FRANCONY,Parking privé réservé à la clientèle,,3,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Avenue Denis Therme][73630][Le Chatelard],6.13535,45.686943,nexteneo,Mo-Fr 12:00-14:00,false,true,false,false,Accessibilité inconnue,3,0,1,2,0,0,0,22.0,0,150.0
